Everlong,Foo Fighters,250546,4
Hotel California - 2013 Remaster,Eagles,391376,1
Creep,Radiohead,238640,3
Come Out and Play,The Offspring,197800,2
Karma Police,Radiohead,264066,0
The Chain - 2004 Remaster,Fleetwood Mac,270213,3
Message In A Bottle,The Police,290280,4
Just Like Heaven,The Cure,212013,4
Owner of a Lonely Heart,Yes,268506,2
Toys In The Attic,Aerosmith,185109,1
Sharp Dressed Man (2008 Remaster),ZZ Top,258026,4
My Hero,Foo Fighters,260026,4
Scumbag Blues,Them Crooked Vultures,265823,4
No One Knows,Queens of the Stone Age,278746,3
Go With The Flow,Queens of the Stone Age,187146,2
Song For The Dead,Queens of the Stone Age,352453,1
Killing In The Name,Rage Against The Machine,313573,1
Make It Wit Chu,Queens of the Stone Age,290493,3
Reptilia,The Strokes,219826,2
Black,Pearl Jam,342653,3
Little Sister,Queens of the Stone Age,174026,2
For Whom The Bell Tolls - Remastered,Metallica,309973,2
The Unforgiven,Metallica,386493,2
The Outsider,A Perfect Circle,246000,2
In Bloom,Nirvana,255080,2
Californication,Red Hot Chili Peppers,329733,1
Under the Bridge,Red Hot Chili Peppers,264306,2
Like a Stone,Audioslave,293960,1
Black Hole Sun,Soundgarden,318586,1
Monkey Wrench,Foo Fighters,231480,0
Best of You,Foo Fighters,255626,2
Walk,Foo Fighters,255960,1
Every Breath You Take,The Police,253920,4
Times Like These,Foo Fighters,265560,1
Bulls On Parade,Rage Against The Machine,229466,0
Scar Tissue,Red Hot Chili Peppers,215906,1
Sweet Emotion,Aerosmith,274088,1
In My Head,Queens of the Stone Age,241200,4
I'll Stick Around,Foo Fighters,232533,1
Speechless,Helmet,178973,1
Plush,Stone Temple Pilots,310346,3
Drain You,Nirvana,223880,0
Freedumb,Suicidal Tendencies,172026,1
Cyco Vision,Suicidal Tendencies,109306,1
I Don't Wanna Be Me,Type O Negative,308826,1
1979 - Remastered 2012,The Smashing Pumpkins,266200,2
John The Fisherman,Primus,216733,1
The Gentle Art of Making Enemies,Faith No More,209893,1
The Man Who Sold the World - 2015 Remaster,David Bowie,241346,2
The One,Limp Bizkit,343360,1
Inbetween Days,The Cure,177986,4
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,175493,0
London Calling - Remastered,The Clash,200480,2
Rock Star - Ao Vivo - Chegou Quem Faltava,Charlie Brown Jr.,180313,2
Old Yellow Bricks,Arctic Monkeys,193226,1
505,Arctic Monkeys,253586,1
Fluorescent Adolescent,Arctic Monkeys,183893,1
Dark Necessities,Red Hot Chili Peppers,302000,4
My Own Prison,Creed,298800,3
What's This Life For,Creed,248226,2
Lonely Day,System Of A Down,167906,2
Spiders,System Of A Down,215440,2
Snuff,Slipknot,276146,2
Mr. Brightside,The Killers,222973,1
Wild Horses - 2009 Mix,The Rolling Stones,341773,2
N.I.B. (2009 - Remaster),Black Sabbath,366173,2
Children of the Grave (2009 - Remaster),Black Sabbath,315893,2
E-Pro,Beck,202360,0
Welcome to Paradise,Green Day,224133,2
Longview,Green Day,233240,2
This fffire - New Version,Franz Ferdinand,218080,2
